period_ordered,book_id,nikh_period,level,sentence
6. Chun / Roh Transitional,ta_m41,4th National Curriculum (1981–1987),Middle School,2\.
6. Chun / Roh Transitional,ta_h52,5th National Curriculum (1987–1992),High School,"따라서, 일본은
조선에 대하여 내정 개혁을 강력히 요구하게 되었다."
8. Democratic Consolidation,ta_e71,7th National Curriculum (2002–),Elementary,"---|---|---  
| 1900 |   
⋅ 을사조약 | 1905 | ⋅ 을사조약 이후 의병 운동이 활발해짐."
4. Post-war Authoritarian,ta_h11,1st National Curriculum (1954–1963),High School,"초기의 오우찌(大內氏, Ohuchi)는 조선과 막부와의 중간에서 개인 무역으로 막대한 이를 보았다."
5. Yushin,ta_e32,3rd National Curriculum (1973–1981),Elementary,"한편, 16세기 말엽과 17세기에 들어와 일본과 청나라의 침략이 밀어닥쳐, 우리 민족은 커다란 어려움에 부딪히게 되었다."
8. Democratic Consolidation,ta_m71,7th National Curriculum (2002–),Middle School,⋅ 최명길 \- 조선 중기의 문신.
4. Post-war Authoritarian,ta_e11,1st National Curriculum (1954–1963),Elementary,"그렇게 하려면, 우선 일을 각자의 능력에 맞도록 나누어야 하며, 계획을 세워서 책임감을
가지고 끝까지 일을 하도록 지도하는 것이 필요하다."
4. Post-war Authoritarian,ta_m11,1st National Curriculum (1954–1963),Middle School,보조국사.
6. Chun / Roh Transitional,ta_m41,4th National Curriculum (1981–1987),Middle School,고려 전기 사회에서 불교와 유학은 어떠한 역할을 하였을까?
7. Early Democratic,ta_h61,6th National Curriculum (1995–2001),High School,"무과의 실시는, 고려 시대에 비하여 문무 양반 제도가 확립되었음을 뜻하는
것이다."
4. Post-war Authoritarian,ta_e21,2nd National Curriculum (1963–1973),Elementary,"링컨  

우리도 8⋅15 해방 후 민주주의 정신을 익혀 실천하고자 끊임없이 힘써 오고 있다."
7. Early Democratic,ta_h62,6th National Curriculum (1995–2001),High School,양명학은 주로 경기 지방을 중심으로 재야의 소론 계열 학자와 불우한 종친 출신의 학자들 사이에서 많이 연구되었다.
4. Post-war Authoritarian,ta_e11,1st National Curriculum (1954–1963),Elementary,우리 나라는 어떤 국제 연합 관계의 기구에 가입하고 있나?
6. Chun / Roh Transitional,ta_h52,5th National Curriculum (1987–1992),High School,"동학의 인간 평등 사상과 사회 개혁 사상은 새로운 사회로의 변화를 갈망하는
농민의 요구에 부합되었고, 포접제(包接制)의 조직은 농민 세력의 규합을 가능하게 하였다."
6. Chun / Roh Transitional,ta_m41,4th National Curriculum (1981–1987),Middle School,신라에는 이벌찬 이하 17등급의 관리들이 있었다.
6. Chun / Roh Transitional,ta_m52,5th National Curriculum (1987–1992),Middle School,"한때 강화성이
프랑스 군에게 점령당하였으나, 정족 산성을 지키던 양헌수 부대가 이를 물리쳤다."
1. Late Chosŏn / Korean Empire,ta_p72r,Enlightenment & Daehan Empire (1895–1910),Elementary,"봄 2월에 우(禑)가 남쪽 교외에 사냥을 나갔는데 최영(崔瑩)이 울면서 간하기를, “충혜왕(忠惠王)은 여색을 좋아하였으나 반드시 밤에
하였고, 충숙왕(忠肅王)은 돌아다니기를 좋아했으나 모두 때를 잃지 않아 백성의 원망이 없었습니다."
8. Democratic Consolidation,ta_h71,7th National Curriculum (2002–),High School,"특히, 신라에서는
불교가 왕권과 밀착되어 성행하였다."
1. Late Chosŏn / Korean Empire,ta_p111r,Enlightenment & Daehan Empire (1895–1910),,"세조 4년(1458)

다음 해(1458)에 큰 종을 새로 만들어 도로 위의 종각에 매달고, 새벽과 황혼에 종을 치도록 하였다."
